city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Sevilla,Santa Cruz,Casco Antiguo,37.38936,-5.99277,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,167.0,41.75,True,1,365,313,38,4.87,5.0,1.54,True,False,1,2023-08-11,2023-09-24,2025-09-19
Sevilla,Feria,Casco Antiguo,37.3967205,-5.9941499,Entire home/apt,Entire rental unit,5,1.5,3.0,4.0,88.0,17.6,False,2,365,60,109,5.0,4.96,4.55,True,False,2,2017-04-29,2023-10-14,2025-09-18
Sevilla,Los Remedios,Los Remedios,37.3750125,-5.999645999999999,Entire home/apt,Entire rental unit,4,1.5,2.0,2.0,112.0,28.0,True,2,365,245,68,4.85,4.81,2.69,False,True,39,2015-07-22,2023-09-03,2025-09-08
Sevilla,Feria,Casco Antiguo,37.39995440000001,-5.9909784,Entire home/apt,Entire rental unit,5,1.0,2.0,3.0,127.0,25.4,True,2,365,196,72,4.76,4.92,2.88,False,False,39,2015-07-22,2023-09-11,2025-09-14
Sevilla,San Bartolomé,Casco Antiguo,37.38993354894957,-5.987857475279955,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,114.0,28.5,True,2,90,227,5,4.4,4.8,0.2,False,True,24,2014-01-13,2023-09-11,2025-02-18
Sevilla,San Vicente,Casco Antiguo,37.39621375155958,-5.997021572575864,Entire home/apt,Entire rental unit,3,1.5,2.0,2.0,120.0,40.0,True,3,365,355,40,4.63,4.9,1.63,False,True,10,2018-11-05,2023-09-24,2025-09-14
Sevilla,San Julián,Casco Antiguo,37.3969016,-5.9845343,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,74.0,24.67,True,3,150,232,49,4.65,4.71,1.98,False,True,19,2013-10-16,2023-09-19,2025-09-08
Sevilla,Alfalfa,Casco Antiguo,37.3903,-5.99376,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,383.0,127.67,True,3,21,238,8,4.88,5.0,0.33,False,False,10,2012-11-27,2023-09-28,2025-05-15
Sevilla,San Lorenzo,Casco Antiguo,37.39819,-5.9972,Private room,Private room in home,2,1.0,1.0,1.0,81.0,40.5,True,1,365,325,90,4.94,4.91,3.84,True,True,2,2021-09-28,2023-10-29,2025-09-20
Sevilla,Los Remedios,Los Remedios,37.3759,-6.00085,Entire home/apt,Entire rental unit,6,2.0,3.0,5.0,236.0,39.33,True,1,365,327,1,5.0,5.0,0.08,False,True,1,2023-08-28,2024-10-06,2024-10-06
Sevilla,Feria,Casco Antiguo,37.3989437,-5.9933946,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,150.0,37.5,False,2,1125,15,4,4.25,4.5,0.16,False,True,25,2018-01-08,2023-09-30,2024-03-31
Sevilla,Triana Casco Antiguo,Triana,37.38151,-6.00016,Entire home/apt,Entire rental unit,5,1.0,2.0,2.0,378.0,75.6,True,2,30,232,8,4.13,4.63,0.33,False,True,50,2019-04-15,2023-10-15,2025-06-29
Sevilla,"El Torrejón, El Cerezo",Macarena,37.40968,-5.98307,Private room,Private room in rental unit,1,0.5,1.0,1.0,32.0,32.0,True,1,365,269,0,,,,False,False,1,2017-01-11,,
Sevilla,San Bartolomé,Casco Antiguo,37.38871898019546,-5.9898261116394025,Entire home/apt,Entire condo,4,0.5,1.0,3.0,103.0,25.75,False,3,31,48,48,4.92,4.98,2.0,True,False,1,2023-08-27,2023-10-13,2025-09-29
Sevilla,an Roque,Nervión,37.38986312520313,-5.983937846152379,Entire home/apt,Entire rental unit,4,1.0,2.0,3.0,139.0,34.75,False,1,365,50,117,4.66,4.76,4.67,False,True,1,2023-08-30,2023-09-10,2025-09-24
Sevilla,San Bartolomé,Casco Antiguo,37.3872,-5.98914,Entire home/apt,Entire home,8,4.0,4.0,6.0,404.0,50.5,True,1,365,286,10,4.8,5.0,0.45,False,True,1,2023-08-30,2023-11-28,2025-06-15
Sevilla,Triana Este,Triana,37.37981755624256,-5.9995390698364215,Entire home/apt,Entire loft,4,1.0,0.0,4.0,60.0,15.0,False,5,365,58,0,,,,False,True,1,2022-12-24,,
Sevilla,Museo,Casco Antiguo,37.39279,-5.99881,Entire home/apt,Entire rental unit,4,1.0,1.0,3.0,116.0,29.0,False,2,365,142,2,4.0,4.0,0.12,False,True,3,2014-02-12,2024-05-19,2024-09-01
